subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/5/2018,3/27/2017,3/28/2017,Public Policy Polling,B,677,rv,.4420832,0,48,43,46.75171,42.89225,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf,49550,78152,3/29/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,3/30/2017,4/1/2017,Morning Consult,B-,1995,rv,.3148305,0,41,39,45.56789,40.9945,"","",https://morningconsult.com/wp-content/uploads/2017/04/170401_crosstabs_Politico_v3_AG-1.pdf,49577,78242,4/2/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/6/2017,4/9/2017,Morning Consult,B-,1988,rv,.2691734,0,43,40,47.56789,41.9945,"","",http://www.politico.com/f/?id=0000015b-5fbb-da80-afdf-dfff4d650002,49603,78241,4/10/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/10/2017,4/11/2017,YouGov,B,1324,rv,.4268422,0,40,37,44.73125,39.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qs45iqlax3/econTabReport.pdf,49604,78156,4/12/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/11/2017,4/12/2017,Marist College,A,869,rv,1.432035,0,45,38,45.15729,38.32661,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170411_Circus/Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_April%202017.pdf#page=3,49610,78154,4/13/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/13/2017,4/15/2017,Morning Consult,B-,1992,rv,.2458519,0,40,40,44.56789,41.9945,"","",https://morningconsult.com/2017/04/20/grading-trumps-first-100-days-office/,49633,78143,4/16/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/15/2017,4/18/2017,YouGov,B,1291,rv,.3771087,0,38,32,42.73125,34.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3y1jngdqn7/econTabReport.pdf,49629,78200,4/19/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/17/2017,4/18/2017,Public Policy Polling,B,648,rv,.4930187,0,47,41,45.75171,40.89225,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_42017.pdf,49637,78149,4/19/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/17/2017,4/20/2017,Gravis Marketing,C+,1665,rv,1.191674,0,47,42,47.08432,41.1986,"","",http://orlando-politics.com/2017/04/25/gravis-marketing-poll-donald-trump-approval-rate-sits-at-42-as-he-approaches-100-day-mark/,49768,78168,4/21/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/17/2017,4/20/2017,NBC News/Wall Street Journal,A-,759,rv,1.207502,0,47,43,46.32769,41.98977,"","",https://www.wsj.com/articles/americans-dissatisfaction-with-speaker-paul-ryan-congress-overall-is-growing-poll-finds-1493067612,49647,78201,4/21/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/20/2017,4/24/2017,McLaughlin & Associates,C-,1000,lv,.4354169,0,43,43,45.27379,40.5372,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50465,79640,4/25/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/20/2017,4/24/2017,Morning Consult,B-,2032,rv,.2275697,0,40,44,44.56789,45.9945,"","",https://morningconsult.com/2017/04/26/trumps-border-wall-lowest-priority-funding-talks-voters-say/,49664,78165,4/25/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/23/2017,4/25/2017,YouGov,B,1289,rv,.344073,0,39,34,43.73125,36.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vndekayz1x/econTabReport.pdf,49656,78203,4/26/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/23/2017,4/25/2017,Fox News,A,1009,rv,1.698415,0,47,42,46.93378,41.97261,"","",http://www.foxnews.com/politics/slideshow/2017/04/26/fox-news-poll-president-trumps-first-100-days.html,49666,78157,4/26/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/22/2017,4/25/2017,CNN/Opinion Research Corp.,B+,922,rv,1.464095,0,49,41,48.05404,40.5784,"","","http://i2.cdn.turner.com/cnn/2017/images/04/28/rel5c.-.congress,.health.care.pdf",49668,78202,4/26/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/27/2017,4/30/2017,Morning Consult,B-,1998,rv,.2090341,0,41,41,45.56789,42.9945,"","",https://morningconsult.com/2017/05/03/people-split-states-treat-sickest-americans/,49689,78146,5/1/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,4/29/2017,5/2/2017,YouGov,B,1255,rv,.3117086,0,38,35,42.73125,37.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/blvmt31w4l/econTabReport.pdf,49688,78204,5/3/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/4/2017,5/6/2017,Morning Consult,B-,1996,rv,.1991565,0,42,36,46.56789,37.9945,"","",https://morningconsult.com/2017/05/10/obamacare-support-gop-alternative-poll-finds/,49712,78169,5/7/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/4/2017,5/9/2017,Quinnipiac University,A-,1078,rv,1.120357,0,54,38,51.86077,37.8518,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2456,49715,78207,5/10/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/6/2017,5/9/2017,YouGov,B,1278,rv,.2996082,0,40,35,44.73125,37.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hdfqb3wks2/econTabReport.pdf,49713,78161,5/10/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/9/2017,5/11/2017,Morning Consult,B-,1731,rv,.1676238,0,42,37,46.56789,38.9945,"","",https://morningconsult.com/2017/05/11/partisanship-strong-factor-voters-stance-comey-firing/,49718,78167,5/12/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/12/2017,5/14/2017,Morning Consult,B-,2001,rv,.1912936,0,42,35,46.56789,36.9945,"","",https://morningconsult.com/2017/05/17/trumps-approval-slide-continues-morale-among-base-weakens/,49737,78144,5/15/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/12/2017,5/14/2017,Public Policy Polling,B,692,rv,.5727952,0,49,38,47.75171,37.89225,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf,49731,78166,5/15/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/13/2017,5/16/2017,YouGov,B,1293,rv,.2899692,0,40,33,44.73125,35.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,49739,78163,5/17/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/18/2017,5/22/2017,Morning Consult,B-,1938,rv,.1822173,0,41,37,45.56789,38.9945,"","",https://morningconsult.com/2017/05/24/trump-arrests-slide-despite-concerns-russia-probe-comey-firing/,49765,78148,5/23/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/19/2017,5/23/2017,Ipsos,B+,405,rv,.0410587,0,43,36.1,47.1141,39.61906,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49793,79323,5/24/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/20/2017,5/24/2017,Ipsos,B+,727,rv,.0722175,0,43.2,36,47.3141,39.51906,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49792,79322,5/25/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/20/2017,5/23/2017,YouGov,B,1266,rv,.274367,0,38,36,42.73125,38.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/nkn28k0m0p/econTabReport.pdf,49764,78159,5/24/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/21/2017,5/25/2017,Ipsos,B+,369,lv,.035949,0,40,35,44.1141,38.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49791,87412,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/22/2017,5/26/2017,Ipsos,B+,591,lv,.0564961,0,39.3,36.8,43.4141,40.31906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49799,87411,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/23/2017,5/27/2017,Ipsos,B+,699,lv,.0656114,0,40.2,36,44.3141,39.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49798,87410,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/24/2017,5/28/2017,Ipsos,B+,667,lv,.0615208,0,38.5,37.5,42.6141,41.01906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49797,87409,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/25/2017,5/29/2017,Ipsos,B+,652,lv,.0591328,0,37.3,38.1,41.4141,41.61906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49796,87408,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/25/2017,5/30/2017,Morning Consult,B-,1991,rv,.1844729,0,43,39,47.56789,40.9945,"","",http://www.politico.com/f/?id=0000015c-5adf-d8e5-adff-5fffa65d0001,49803,78249,5/31/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/26/2017,5/30/2017,Ipsos,B+,655,lv,.0584507,0,37.4,37.2,41.5141,40.71906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49813,87407,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/27/2017,5/30/2017,YouGov,B,1266,rv,.2678646,0,39,33,43.73125,35.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sm62pd19o2/econTabReport.pdf,49801,78248,5/31/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/27/2017,5/31/2017,Ipsos,B+,546,lv,.0479528,0,37.4,35.4,41.5141,38.91906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49812,87406,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/28/2017,5/31/2017,McLaughlin & Associates,C-,1000,lv,.5206937,0,43.4,43.6,45.67379,41.1372,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50464,79639,6/1/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/28/2017,6/1/2017,Ipsos,B+,528,lv,.0456453,0,38.9,33.8,43.0141,37.31906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49811,87405,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/29/2017,6/2/2017,Ipsos,B+,520,lv,.0442556,0,38.5,31.4,42.6141,34.91906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49821,87404,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/30/2017,6/3/2017,Ipsos,B+,575,lv,.0481833,0,36.6,32.8,40.7141,36.31906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49820,87403,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/1/2017,6/2/2017,Morning Consult,B-,1999,rv,.1836268,0,42,39,46.56789,40.9945,"","",http://www.politico.com/story/2017/06/07/donald-trump-twitter-poll-239222,49824,78286,6/3/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,5/31/2017,6/4/2017,Ipsos,B+,669,lv,.0552082,0,38.5,32.3,42.6141,35.81906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49819,87402,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/31/2017,6/6/2017,Quinnipiac University,A-,1361,rv,1.170152,0,51,39,48.86077,38.8518,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2463,49828,78293,6/7/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/1/2017,6/5/2017,Ipsos,B+,663,lv,.0538848,0,38.7,32.6,42.8141,36.11906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49822,87401,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,5/31/2017,6/5/2017,Greenberg Quinlan Rosner,B-,1000,rv,1.16718,0,50,40,48.95824,38.96148,"","",http://www.democracycorps.com/attachments/article/1079/Dcor_WV_RAE%20Panel_Wave%203_Deck_1.24.18_for%20release.pdf,50841,80333,6/6/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/2/2017,6/6/2017,Ipsos,B+,653,lv,.0522513,0,37,33,41.1141,36.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49836,87400,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/3/2017,6/7/2017,Ipsos,B+,652,lv,.0513426,0,38.5,33.5,42.6141,37.01906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49835,87399,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/4/2017,6/6/2017,YouGov,B,1288,rv,.2681433,0,41,37,45.73125,39.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,49825,78287,6/7/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/4/2017,6/8/2017,Ipsos,B+,576,lv,.0446192,0,41.2,33.2,45.3141,36.71906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49834,87398,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/5/2017,6/9/2017,Ipsos,B+,452,lv,.0344278,0,41.1,34.7,45.2141,38.21906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49848,87397,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/6/2017,6/10/2017,Ipsos,B+,415,lv,.0310704,0,42,35.3,46.1141,38.81906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49847,87396,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/7/2017,6/11/2017,Ipsos,B+,412,lv,.0303194,0,43,36.9,47.1141,40.41906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49846,87395,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/8/2017,6/12/2017,Morning Consult,B-,1990,rv,.1799782,0,42,39,46.56789,40.9945,"","",http://www.politico.com/f/?id=0000015c-a2f6-d070-a57d-effe677f0001,49855,78337,6/13/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/9/2017,6/11/2017,Public Policy Polling,B,811,rv,.7108388,0,50,40,48.75171,39.89225,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf,49842,78314,6/12/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/8/2017,6/12/2017,Ipsos,B+,383,lv,.0277069,0,42,38,46.1141,41.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49845,87394,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/9/2017,6/13/2017,Ipsos,B+,383,lv,.0272388,0,39,40,43.1141,43.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49861,87393,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/11/2017,6/13/2017,YouGov,B,1298,rv,.266524,0,38,36,42.73125,38.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kc9nca1eho/econTabReport.pdf,49850,78331,6/14/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/10/2017,6/14/2017,Ipsos,B+,398,lv,.0278297,0,39,40,43.1141,43.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49860,87392,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/11/2017,6/15/2017,Ipsos,B+,402,lv,.0276381,0,38,40,42.1141,43.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49859,87391,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/12/2017,6/16/2017,Ipsos,B+,402,lv,.0271762,0,39,39,43.1141,42.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49877,87390,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/13/2017,6/17/2017,Ipsos,B+,396,lv,.026324,0,43,36,47.1141,39.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49876,87389,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/14/2017,6/18/2017,Ipsos,B+,390,lv,.0254934,0,45,34,49.1141,37.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49875,87388,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/15/2017,6/19/2017,Ipsos,B+,394,lv,.0253267,0,46,30,50.1141,33.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49874,87387,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/15/2017,6/19/2017,Morning Consult,B-,2051,rv,.1834924,0,43,37,47.56789,38.9945,"","",https://morningconsult.com/wp-content/uploads/2017/06/170604_crosstabs_Politico_v1_TB-1.pdf,49881,78383,6/20/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/16/2017,6/20/2017,Ipsos,B+,417,lv,.0263613,0,46,30.8,50.1141,34.31906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49895,87386,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/18/2017,6/20/2017,YouGov,B,1277,rv,.2589371,0,38,35,42.73125,37.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b6o1y15enn/econTabReport.pdf,49878,78378,6/21/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/17/2017,6/20/2017,NBC News/Wall Street Journal,A-,765,rv,1.155341,0,50,42,49.32769,40.98977,"","",http://msnbcmedia.msn.com/i/TODAY/z_Creative/17255%20NBCWSJJunePoll.pdf,49885,78387,6/21/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/17/2017,6/21/2017,Ipsos,B+,417,lv,.0259273,0,41,35.9,45.1141,39.41906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49894,87385,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/18/2017,6/22/2017,Ipsos,B+,435,lv,.0266044,0,41,34.5,45.1141,38.01906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49893,87384,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/19/2017,6/23/2017,Ipsos,B+,473,lv,.0284595,0,38.4,34.9,42.5141,38.41906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49903,87383,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/20/2017,6/24/2017,Ipsos,B+,500,lv,.029601,0,36.9,35.4,41.0141,38.91906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49902,87382,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/21/2017,6/25/2017,Ipsos,B+,501,lv,.0291867,0,37.4,35.6,41.5141,39.11906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49901,87381,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/22/2017,6/24/2017,Morning Consult,B-,1994,rv,.1772545,0,42,40,46.56789,41.9945,"","",http://www.politico.com/f/?id=0000015c-eab8-d0dd-ad5e-febabb7b0001,49908,78427,6/25/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/21/2017,6/25/2017,Marist College,A,995,rv,1.668757,0,48,38,48.15729,38.32661,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170621_PBS_NPR/NPR_PBS%20NewsHour_Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_Trump_Congress_Health%20Care_June%202017.pdf#page=3,49910,78429,6/26/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/22/2017,6/26/2017,Ipsos,B+,501,lv,.0287215,0,39.1,33.6,43.2141,37.11906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49900,87380,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/23/2017,6/27/2017,Ipsos,B+,537,lv,.0302933,0,36.8,36,40.9141,39.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49920,87379,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/22/2017,6/27/2017,Quinnipiac University,A-,1212,rv,.9823015,0,51,41,48.86077,40.8518,"","",https://poll.qu.edu/images/polling/us/us06292017_U29wzguu.pdf/,49917,78440,6/28/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/24/2017,6/28/2017,Ipsos,B+,543,lv,.0301394,0,40.2,34.3,44.3141,37.81906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49922,87378,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/25/2017,6/27/2017,Fox News,A,1017,rv,1.686767,0,47,41,46.93378,40.97261,"","",http://www.foxnews.com/politics/interactive/2017/06/28/fox-news-poll-june-28-2017.html,49912,78434,6/28/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/25/2017,6/27/2017,YouGov,B,1279,rv,.2566116,0,41,35,45.73125,37.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p97ezf7wcq/econTabReport.pdf,49906,78428,6/28/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/25/2017,6/29/2017,Ipsos,B+,503,lv,.0274669,0,40.9,32.9,45.0141,36.41906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49921,87377,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/26/2017,6/30/2017,Ipsos,B+,530,lv,.0284707,0,41.1,33.4,45.2141,36.91906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49938,87376,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/27/2017,7/1/2017,Ipsos,B+,516,lv,.0272686,0,39.3,34.6,43.4141,38.11906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49937,87375,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/28/2017,7/2/2017,Ipsos,B+,480,lv,.0249561,0,42.1,34,46.2141,37.51906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49936,87374,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/29/2017,6/30/2017,Morning Consult,B-,1989,rv,.1756172,0,43,39,47.56789,40.9945,"","",https://morningconsult.com/wp-content/uploads/2017/07/170612_crosstabs_POLITICO_v2_AP-1.pdf,49941,78483,7/1/2017,15:58:20  5 Nov 2018
All polls,11/5/2018,6/29/2017,7/3/2017,Ipsos,B+,406,lv,.02077,0,40,34.9,44.1141,38.41906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49935,87373,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,6/30/2017,7/4/2017,Ipsos,B+,450,lv,.0226541,0,42.9,35.6,47.0141,39.11906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49934,87372,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,7/1/2017,7/5/2017,Ipsos,B+,404,lv,.0200178,0,43,35.1,47.1141,38.61906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49946,87371,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,7/2/2017,7/6/2017,Ipsos,B+,443,lv,.0216088,0,43,32.8,47.1141,36.31906,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49945,87370,9/18/2018,15:58:20  5 Nov 2018
All polls,11/5/2018,7/3/2017,7/4/2017,YouGov,B,1310,rv,.2599142,0,37,35,41.73125,37.63464,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o8w3rbul29/econTabReport.pdf,49931,78463,7/5/2017,15:58:20  5 Nov 2018
